first_name,last_name,image_link,spotify_link,yt_link,info,id,more_link
Dimitra,Galani,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/galani.jpg
","https://open.spotify.com/artist/3nV0kq59WJOJRLNWpFR1m6
","https://www.youtube.com/@dimitragalani4039
",,singer,
Kaiti,Garbi,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/garbi.jpg
","https://open.spotify.com/artist/6EdXBTjIDwu5aYv4U3K8TI
","https://www.youtube.com/channel/UCYnaJ8e91YzMzvka02EtU4Q
",,singer,
Katerina,Geronikolou,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/geronikolou.jpg,,,,actor,
Tasos,Giannopoulos,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/giannopoulos.jpg,,,,actor,
Glykeria,,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/glykeria.jpg
","https://open.spotify.com/artist/0GBKwLQdkZ6tml0ssOSQ4f?autoplay=true
","https://www.youtube.com/channel/UCtfNlecMwydpGg3IP9qLgYQ
",,singer,
Stamatis,Gonidis,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/gonidis.jpg
","https://open.spotify.com/artist/5By2qsuXvDrrlvRfyy6Kyk
","https://www.youtube.com/channel/UCnLHgW2keFD1SlKgQlKyiGQ
",,singer,
Manos,Hadjidakis,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/hadjidakis.jpg
","https://open.spotify.com/artist/4epy8uB6icBmTU3VoMwVzG
","https://www.youtube.com/channel/UCXqeEcPYqPUHAi3AvSlh3bg
",,singer,
Michalis,Hatzigiannis,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/hatzigiannis.jpg
","https://open.spotify.com/artist/77YRvt1TuxpCmW4Ydrx69A
","https://www.youtube.com/channel/UCu7VTXaCPuk-0tzbpXQeprw
",,singer,
Hmiskoubria,,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/hmiskoubria.jpg
","https://open.spotify.com/artist/5A4ExW2nMBFRy2JDoYUcUE?autoplay=true
","https://www.youtube.com/channel/UCUdfr3SXb8XGyO_xGTpJahw
",,singer,
Meletis,Ilias,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/ilias.jpg,,,,actor,
Dinos,Iliopoulos,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/iliopoulos.jpg,,,,actor,
Vaggelis,Kakouriotis,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/kakouriotis.jpg
","https://open.spotify.com/artist/3N8sYD5TZzxCuMqi2czGyA
","https://www.youtube.com/channel/UCg0ZTdXW_uhuHcJ12tZAHBA
",,singer,
